,alt,target,error,pid_result
0,19,19,0,0
1,16,16,0,0
2,14,14,0,0
3,13,13,0,0
4,14,14,0,0
5,17,17,0,0
6,18,18,0,0
7,16,16,0,0
8,14,14,0,0
9,12,12,0,0
10,11,11,0,0
11,11,11,0,0
12,14,14,0,0
13,14,14,0,0
14,16,16,0,0
15,19,19,0,0
16,19,19,0,0
17,17,17,0,0
18,17,17,0,0
19,16,16,0,0
20,15,15,0,0
21,15,15,0,0
22,17,17,0,0
23,17,17,0,0
24,16,16,0,0
25,17,17,0,0
26,16,16,0,0
27,16,16,0,0
28,19,19,0,0
29,18,18,0,0
30,16,16,0,0
31,14,14,0,0
32,12,12,0,0
33,13,13,0,0
34,13,13,0,0
35,14,14,0,0
36,17,17,0,0
37,18,18,0,0
38,21,21,0,0
39,22,22,0,0
40,21,21,0,0
41,19,19,0,0
42,17,17,0,0
43,18,18,0,0
44,18,18,0,0
45,21,21,0,0
46,22,22,0,0
47,23,23,0,0
48,23,23,0,0
49,23,23,0,0
50,23,23,0,0
51,22,22,0,0
52,21,21,0,0
53,22,22,0,0
54,22,22,0,0
55,24,24,0,0
56,25,25,0,0
57,24,24,0,0
58,25,25,0,0
59,24,24,0,0
60,23,23,0,0
61,24,24,0,0
62,26,26,0,0
63,25,25,0,0
64,24,24,0,0
65,21,21,0,0
66,18,18,0,0
67,19,19,0,0
68,19,19,0,0
69,20,20,0,0
70,20,20,0,0
71,20,20,0,0
72,20,20,0,0
73,23,23,0,0
74,25,25,0,0
75,27,27,0,0
76,29,29,0,0
77,30,30,0,0
78,30,30,0,0
79,27,27,0,0
80,27,27,0,0
81,26,26,0,0
82,25,25,0,0
83,24,24,0,0
84,23,23,0,0
85,23,23,0,0
86,24,24,0,0
87,26,26,0,0
88,27,27,0,0
89,29,29,0,0
90,28,28,0,0
91,28,28,0,0
92,27,27,0,0
93,28,28,0,0
94,29,29,0,0
95,33,33,0,0
96,38,38,0,0
97,41,41,0,0
98,45,45,0,0
99,46,46,0,0
100,45,45,0,0
101,43,43,0,0
102,42,42,0,0
103,43,43,0,0
104,44,44,0,0
105,43,43,0,0
106,43,43,0,0
107,38,38,0,0
108,37,37,0,0
109,37,37,0,0
110,39,38,0,-6
111,41,38,-3,-33
112,43,38,-4,-47
113,45,38,-6,-65
114,43,38,-5,-54
115,45,38,-6,-88
116,44,38,-6,-23
117,43,38,-4,311
118,42,38,-4,1216
119,42,38,-3,-2100
120,42,38,-3,-39
121,41,38,-2,-25
122,42,38,-3,-39
123,42,38,-4,-43
124,42,38,-3,-39
125,44,38,-6,-60
126,42,38,-4,-44
127,41,38,-3,-30
128,41,38,-2,-28
129,38,38,0,-1
130,39,38,0,-147
131,37,38,0,348
132,32,38,6,698
133,28,38,9,5974
134,25,38,12,126
135,22,38,15,159
136,20,38,18,181
137,16,38,21,216
138,13,38,24,247
139,9,38,28,287
140,3,38,35,352
141,0,38,39,389
142,-3,38,41,415
143,-3,38,41,412
144,0,38,37,365
145,2,38,36,415
146,0,38,38,509
147,-2,38,41,745
148,-5,38,44,3929
149,-7,38,46,460
150,-9,38,47,476
151,-9,38,48,481
152,-10,38,48,488
153,-13,38,51,515
154,-13,38,52,524
155,-15,38,54,543
156,-16,38,54,547
157,-14,38,53,535
158,-15,38,54,543
159,-13,38,51,496
160,-13,38,51,503
161,-12,38,51,-710
162,-11,38,50,-563
163,-13,38,51,515
164,-13,38,52,525
165,-13,38,52,520
166,-13,38,51,519
167,-12,38,51,514
168,-14,38,52,528
169,-14,38,52,527
170,-13,38,52,520
171,-12,38,51,513
172,-11,38,50,500
173,-12,38,51,516
174,-13,38,52,527
175,-13,38,52,-800
176,-13,38,52,764
177,-13,38,51,518
178,-11,38,49,495
179,-12,38,50,506
180,-12,38,50,506
181,-12,38,50,506
182,-13,38,52,523
183,-13,38,52,520
184,-15,38,54,540
185,-15,38,53,539
186,-15,38,53,540
187,-17,38,55,556
188,-15,38,54,534
189,-17,38,55,683
190,-16,38,54,284
191,-15,38,54,1174
192,-15,38,54,544
193,-16,38,54,549
194,-19,38,57,576
195,-20,38,58,585
196,-19,38,58,583
197,-20,38,58,587
198,-16,38,55,554
199,-16,38,55,554
200,-17,38,55,556
201,-17,38,55,558
202,-19,38,57,579
203,-19,38,58,558
204,-21,38,59,707
205,-22,38,60,1484
206,-22,38,60,2086
207,-22,38,60,605
208,-18,38,56,567
209,-15,38,53,539
210,-13,38,52,521
211,-11,38,49,495
212,-13,38,51,516
213,-12,38,51,513
214,-12,38,50,506
215,-14,38,53,531
216,-14,38,53,532
217,-15,38,54,534
218,-16,38,54,498
219,-13,38,52,143
220,-14,38,52,1262
221,-14,38,52,-183
222,-13,38,51,515
223,-13,38,51,516
224,-10,38,49,494
225,-11,38,49,497
226,-13,38,51,515
227,-15,38,54,540
228,-14,38,53,532
229,-13,38,52,523
230,-12,38,51,513
231,-9,38,48,463
232,-8,38,47,476
233,-7,38,46,457
234,-8,38,47,1060
235,-11,38,49,1810
236,-14,38,52,526
237,-15,38,54,541
238,-14,38,53,531
239,-12,38,50,508
240,-11,38,49,496
241,-11,38,50,503
242,-12,38,50,507
243,-14,38,52,530
244,-13,38,52,520
245,-12,38,51,508
246,-10,38,49,489
247,-7,38,46,458
248,-8,38,46,351
249,-8,38,47,1975
250,-11,38,49,3009
251,-13,38,52,521
252,-14,38,53,534
253,-12,38,51,515
254,-11,38,49,497
255,-11,38,49,495
256,-10,38,49,492
257,-13,38,51,515
258,-14,38,52,526
259,-14,38,53,531
260,-14,38,52,525
261,-12,38,51,514
262,-11,38,49,443
263,-10,38,48,411
264,-11,38,49,1329
265,-12,38,50,509
266,-14,38,53,530
267,-17,38,55,558
268,-19,38,58,580
269,-19,38,57,579
270,-17,38,56,562
271,-13,38,52,521
272,-8,38,47,471
273,-10,38,48,486
274,-12,38,51,510
275,-14,38,53,551
276,-18,-18,55,554
277,-17,-17,55,554
278,-18,-18,55,554
279,-20,-19,55,554
280,-20,-20,55,554
281,-22,-22,55,554
282,-21,-21,55,554
283,-22,-22,55,554
284,-22,-22,55,554
285,-22,-22,55,554
286,-19,-19,55,554
287,-16,-16,55,554
288,-14,-14,55,554
289,-11,-11,55,554
290,-9,-9,55,554
291,-5,-5,55,554
292,3,3,55,554
293,11,11,55,554
294,19,19,55,554
295,26,26,55,554
296,32,32,55,554
297,36,36,55,554
298,39,39,55,554
299,36,36,55,554
300,36,36,55,554
301,37,37,55,554
302,37,37,55,554
303,38,38,55,554
304,38,38,55,554
305,36,36,55,554
306,39,39,55,554
307,40,40,55,554
308,39,39,55,554
309,40,40,55,554
310,36,36,55,554
311,34,34,55,554
312,36,36,55,554
313,36,36,55,554
314,38,38,55,554
315,41,41,55,554
316,41,41,55,554
317,41,41,55,554
318,43,43,55,554
319,42,42,55,554
320,41,41,55,554
321,39,39,55,554
322,39,39,55,554
323,41,40,55,554
324,41,41,55,554
325,45,45,55,554
326,45,45,55,554
327,45,45,55,554
328,45,45,55,554
329,44,44,55,554
330,42,42,55,554
331,42,42,55,554
332,43,43,55,554
333,43,43,55,554
334,42,42,55,554
335,43,43,55,554
336,42,42,55,554
337,42,42,55,554
338,46,46,55,554
339,49,49,55,554
340,54,54,55,554
341,57,57,55,554
342,57,57,55,554
343,55,55,55,554
344,54,54,55,554
345,54,54,55,554
346,53,53,55,554
347,53,53,55,554
348,53,53,55,554
349,53,53,55,554
350,54,54,55,554
351,54,54,55,554
352,52,52,55,554
353,50,50,55,554
354,50,50,55,554
355,51,51,55,554
356,56,56,55,554
357,59,59,55,554
358,61,61,55,554
359,60,60,55,554
360,57,57,55,554
361,56,56,55,554
362,55,55,55,554
363,57,57,55,554
364,60,60,55,554
365,62,62,55,554
366,64,64,55,554
367,64,64,55,554
368,63,63,55,554
369,62,62,55,554
370,59,59,55,554
371,56,56,55,554
372,57,57,55,554
373,60,60,55,554
374,62,62,55,554
375,63,63,55,554
376,61,61,55,554
377,59,59,55,554
378,59,59,55,554
379,59,59,55,554
380,61,61,55,554
381,62,62,55,554
382,61,61,55,554
383,61,61,55,554
