,alt,target,error,pid_result
0,71,71,0,-4
1,69,69,0,-4
2,67,67,0,-4
3,66,66,0,-4
4,66,66,0,-4
5,64,64,0,-4
6,63,63,0,-4
7,65,65,0,-4
8,66,66,0,-4
9,70,70,0,-4
10,73,73,0,-4
11,73,73,0,-4
12,72,72,0,-4
13,74,74,0,-4
14,75,75,0,-4
15,75,75,0,-4
16,75,75,0,-4
17,73,73,0,-4
18,72,72,0,-4
19,70,70,0,-4
20,69,69,0,-4
21,71,71,0,-4
22,74,74,0,-4
23,75,75,0,-4
24,78,78,0,-4
25,76,76,0,-4
26,75,75,0,-4
27,78,78,0,-4
28,80,80,0,-4
29,79,79,0,-4
30,78,78,0,-4
31,77,77,0,-4
32,76,76,0,-4
33,77,77,0,-4
34,80,80,0,-4
35,79,79,0,-4
36,77,77,0,-4
37,78,78,0,-4
38,76,76,0,-4
39,77,77,0,-4
40,79,79,0,-4
41,79,79,0,-4
42,82,82,0,-4
43,84,84,0,-4
44,83,83,0,-4
45,82,82,0,-4
46,78,78,0,-4
47,76,76,0,-4
48,77,77,0,-4
49,79,79,0,-4
50,81,81,0,-4
51,83,83,0,-4
52,82,82,0,-4
53,83,83,0,-4
54,84,84,0,-4
55,83,83,0,-4
56,86,86,0,-4
57,83,83,0,-4
58,81,81,0,-4
59,81,81,0,-4
60,78,78,0,-4
61,79,79,0,-4
62,79,79,0,-4
63,79,79,0,-4
64,82,82,0,-4
65,81,81,0,-4
66,81,81,0,-4
67,82,82,0,-4
68,82,82,0,-4
69,84,84,0,-1
70,81,84,2,200
71,79,84,4,330
72,77,84,7,524
73,76,84,8,574
74,78,84,5,66
75,80,84,4,-133
76,79,84,5,362
77,77,84,6,463
78,76,84,8,592
79,72,84,12,850
80,71,84,13,938
81,71,84,13,942
82,71,84,12,902
83,74,84,9,675
84,77,84,6,480
85,79,84,4,336
86,80,84,3,275
87,81,84,3,164
88,80,84,3,353
89,80,84,4,277
90,81,84,3,-2100
91,80,84,4,308
92,78,84,6,424
93,77,84,6,476
94,73,84,10,750
95,71,84,13,932
96,69,84,15,1073
97,68,84,15,1092
98,68,84,16,1153
99,66,84,18,1278
100,65,84,19,1349
101,61,84,22,1631
102,58,84,26,2106
103,55,84,28,2444
104,53,84,31,9246
105,50,84,34,2384
106,47,84,36,2574
107,44,84,40,2809
108,42,84,42,2965
109,41,84,43,3035
110,39,84,44,3131
111,38,84,46,3233
112,36,84,47,3340
113,33,84,51,3578
114,32,84,52,3667
115,31,84,53,3756
116,27,84,56,4082
117,26,84,58,4397
118,23,84,61,4403
119,22,84,62,4348
120,21,84,62,4409
121,23,84,61,4306
122,24,84,59,4185
123,23,84,61,4295
124,23,84,61,4306
125,22,84,62,4349
126,23,84,61,4281
127,25,84,59,4156
128,24,84,60,4226
129,22,84,62,4370
130,20,84,64,4582
131,18,84,66,4784
132,18,84,66,4173
133,18,84,65,4349
134,18,84,66,4656
135,16,84,68,4764
136,14,84,69,4878
137,13,84,70,4953
138,11,84,72,5106
139,9,84,75,5259
140,8,84,75,5309
