,alt,target,error,pid_result
0,9,9,0,0
1,10,10,0,0
2,12,12,0,0
3,12,12,0,0
4,13,13,0,0
5,17,17,0,0
6,23,23,0,0
7,32,32,0,0
8,37,37,0,0
9,42,42,0,0
10,43,43,0,0
11,43,43,0,0
12,46,46,0,0
13,48,48,0,0
14,49,49,0,0
15,51,51,0,0
16,49,49,0,0
17,51,51,0,0
18,55,55,0,0
19,54,54,0,0
20,55,55,0,0
21,52,52,0,0
22,50,50,0,0
23,51,51,0,0
24,52,52,0,0
25,54,54,0,0
26,54,54,0,0
27,53,53,0,0
28,51,51,0,0
29,51,51,0,0
30,51,51,0,0
31,54,54,0,0
32,57,57,0,0
33,60,60,0,0
34,62,62,0,0
35,62,62,0,0
36,60,60,0,0
37,59,59,0,0
38,62,62,0,0
39,62,62,0,0
40,61,61,0,0
41,60,60,0,0
42,58,58,0,0
43,58,58,0,0
44,58,58,0,0
45,60,60,0,0
46,61,61,0,0
47,61,61,0,0
48,61,61,0,0
49,59,59,0,0
50,58,58,0,0
51,57,57,0,0
52,56,56,0,0
53,60,60,0,0
54,62,62,0,0
55,64,64,0,0
56,65,65,0,0
57,64,64,0,0
58,61,61,0,0
59,58,58,0,0
60,56,56,0,0
61,55,55,0,0
62,57,57,0,0
63,60,60,0,0
64,61,61,0,0
65,61,61,0,0
66,59,59,0,0
67,58,58,0,0
68,58,58,0,0
69,58,58,0,0
70,59,59,0,0
71,59,59,0,0
72,59,59,0,0
73,60,60,0,0
74,59,59,0,0
75,58,58,0,0
76,57,57,0,0
77,54,54,0,0
78,55,55,0,0
79,57,57,0,0
80,60,60,0,0
81,61,61,0,0
82,61,61,0,0
83,58,58,0,0
84,56,56,0,0
85,58,58,0,0
86,59,59,0,0
87,63,63,0,0
88,64,64,0,0
89,61,61,0,0
90,61,61,0,0
91,60,60,0,0
92,63,63,0,0
93,66,66,0,0
94,69,69,0,0
95,71,71,0,0
96,75,75,0,0
97,79,79,0,0
98,79,79,0,0
99,76,76,0,0
100,73,73,0,0
101,68,68,0,0
102,65,65,0,0
103,65,65,0,0
104,63,63,0,0
105,65,65,0,0
106,65,65,0,0
107,70,70,0,0
108,74,74,0,0
109,73,74,0,0
110,73,73,0,0
111,70,70,0,0
112,66,66,0,0
113,66,66,0,-6
114,69,66,-3,-158
115,71,66,-5,-256
116,72,66,-5,-298
117,73,66,-6,-332
118,73,66,-7,-350
119,72,66,-5,-279
120,71,66,-5,-241
121,70,66,-3,-167
122,70,66,-3,-582
123,73,66,-7,-892
124,73,66,-6,2603
125,70,66,-3,-181
126,67,66,0,-41
127,63,66,3,165
128,63,66,3,169
129,68,66,-1,-92
130,71,66,-5,-257
131,72,66,-5,-292
132,73,66,-6,-331
133,72,66,-6,-307
134,71,66,-5,-262
135,74,66,-7,-418
136,75,66,-9,-528
137,75,66,-8,-232
138,74,66,-7,376
139,74,66,-7,-394
140,71,66,-5,-278
141,72,66,-5,-285
142,75,66,-8,-440
143,73,66,-6,-344
144,69,66,-3,-169
145,64,66,1,82
146,59,66,7,353
147,55,66,10,535
148,54,66,12,617
149,52,66,13,713
150,49,66,16,961
151,46,66,19,929
152,42,66,23,11596
153,37,66,28,1401
154,33,66,33,1651
155,28,66,38,1910
156,22,66,43,2187
157,19,66,46,2347
158,16,66,50,2520
159,14,66,51,2597
160,15,66,51,2553
161,16,66,50,2501
162,18,66,48,2420
163,18,66,47,2386
164,19,66,47,2369
165,19,66,46,2207
166,19,66,47,2568
167,18,66,47,3025
168,17,66,49,2454
169,16,66,50,2508
170,14,66,51,2597
171,13,66,53,2651
172,12,66,53,2699
173,9,66,56,2824
174,11,66,54,2744
175,17,66,48,2432
176,26,66,39,1989
177,35,66,30,1530
178,45,66,21,1043
179,53,66,13,625
180,57,66,9,299
181,63,66,3,-2100
182,70,66,-3,-2100
183,72,66,-6,-311
184,75,66,-9,-471
185,79,66,-12,-638
186,80,66,-14,-725
187,83,66,-17,-860
188,88,66,-22,-1118
189,92,66,-26,-1309
190,93,66,-26,-1346
191,93,66,-27,-1368
192,93,66,-26,-1329
193,91,66,-25,-1243
194,92,66,-26,-1339
195,92,66,-26,-977
196,89,66,-23,340
197,88,66,-22,-514
198,87,66,-20,-1049
199,86,66,-19,-994
200,88,66,-21,-1084
201,90,66,-23,-1186
202,90,66,-24,-1209
203,89,66,-22,-1140
204,82,66,-15,-797
205,79,66,-12,-634
206,78,66,-12,-604
207,80,66,-13,-708
208,82,66,-15,-1322
209,84,66,-17,-809
210,83,66,-17,1821
211,84,66,-18,-920
212,84,66,-18,-926
213,84,66,-18,-906
214,83,66,-17,-851
215,83,66,-17,-869
216,82,66,-16,-810
217,81,66,-15,-771
218,84,66,-17,-879
219,82,66,-16,-820
220,82,66,-15,-787
221,82,66,-16,-872
222,82,82,-16,297
223,82,82,0,0
224,81,81,0,0
225,80,80,0,0
226,80,80,0,0
227,79,79,0,0
228,78,78,0,0
229,78,78,0,0
230,77,77,0,0
231,79,79,0,0
232,81,81,0,0
233,84,84,0,0
234,85,85,0,0
235,84,84,0,0
236,85,85,0,0
237,84,84,0,0
238,83,83,0,0
239,82,82,0,0
240,79,79,0,0
241,77,77,0,0
242,77,77,0,0
243,79,78,-1,-81
244,79,78,-1,-95
245,80,78,-2,-144
246,81,78,-3,-157
247,79,78,-1,-90
248,82,82,-3,-2100
249,86,86,-3,-2100
250,87,87,-3,-2100
251,90,90,-3,-2100
252,88,88,-3,-2100
253,85,85,-3,-2100
254,86,86,-3,-2100
255,85,85,-3,-2100
256,87,87,-3,-2100
257,89,89,-3,-2100
258,90,90,-3,-2100
259,89,89,-3,-2100
260,89,89,-3,-2100
261,88,88,-3,-2100
262,89,89,-3,-2100
263,87,87,-3,-2100
264,86,86,-3,-2100
265,84,84,-3,-2100
266,85,85,-3,-2100
267,87,87,-3,-2100
268,87,87,-3,-2100
269,84,84,-3,-2100
270,82,82,-3,-2100
271,79,79,-3,-2100
272,78,78,-3,-2100
273,81,81,-3,-2100
274,85,85,-3,-2100
275,86,86,-3,-2100
276,84,84,-3,-2100
277,84,84,-3,-2100
278,81,81,-3,-2100
279,81,81,-3,-2100
280,79,79,-3,-2100
