,alt,target,error,pid_result
0,21,21,0,0
1,23,23,0,0
2,24,24,0,0
3,27,27,0,0
4,31,31,0,0
5,30,30,0,0
6,28,28,0,0
7,27,27,0,0
8,25,25,0,0
9,26,26,0,0
10,28,28,0,0
11,28,28,0,0
12,28,28,0,0
13,26,26,0,0
14,25,25,0,0
15,26,26,0,0
16,27,27,0,0
17,28,28,0,0
18,28,28,0,0
19,29,29,0,0
20,30,30,0,0
21,34,34,0,0
22,38,38,0,0
23,44,44,0,0
24,48,48,0,0
25,51,51,0,0
26,56,56,0,0
27,58,58,0,0
28,61,61,0,0
29,65,65,0,0
30,65,65,0,0
31,68,68,0,0
32,66,66,0,0
33,67,67,0,0
34,68,68,0,0
35,66,66,0,0
36,70,70,0,0
37,74,74,0,0
38,78,78,0,0
39,84,84,0,0
40,85,85,0,0
41,85,85,0,0
42,86,86,0,0
43,85,85,0,0
44,86,86,0,0
45,90,90,0,0
46,91,91,0,0
47,92,92,0,0
48,92,92,0,0
49,91,91,0,0
50,91,91,0,0
51,91,91,0,0
52,92,92,0,0
53,91,91,0,0
54,90,90,0,0
55,88,88,0,0
56,88,88,0,0
57,88,88,0,0
58,87,87,0,0
59,87,87,0,0
60,89,89,0,0
61,89,89,0,0
62,89,89,0,0
63,88,88,0,0
64,85,85,0,0
65,85,85,0,0
66,86,86,0,0
67,87,87,0,0
68,91,91,0,0
69,90,90,0,0
70,90,90,0,0
71,91,91,0,0
72,89,89,0,0
73,88,88,0,0
74,89,89,0,0
75,89,89,0,0
76,89,89,0,0
77,92,92,0,0
78,93,93,0,0
79,94,94,0,0
80,95,95,0,0
81,93,93,0,0
82,92,92,0,0
83,93,93,0,0
84,95,95,0,0
85,94,94,0,0
86,93,93,0,0
87,91,91,0,0
88,89,89,0,0
89,88,88,0,0
90,88,88,0,0
91,90,90,0,0
92,90,90,0,0
93,91,91,0,0
94,94,94,0,0
95,95,95,0,0
96,94,94,0,0
97,95,95,0,0
98,94,94,0,0
99,93,93,0,0
100,92,92,0,0
