,alt,target,error,pid_result
0,55,47,-8,959
1,50,47,-2,6034
2,47,47,0,2
3,46,47,1,92
4,49,47,-1,-123
5,51,47,-3,-241
6,52,47,-4,-363
7,52,47,-5,-378
8,50,47,-2,-192
9,51,47,-3,-285
10,52,47,-4,-366
11,53,47,-5,-448
12,54,47,-6,-535
13,54,47,-6,-388
14,55,47,-7,-484
15,55,47,-7,2561
16,54,47,-6,-516
17,56,47,-8,-652
18,56,47,-8,-671
19,56,47,-8,-645
20,56,47,-8,-666
21,53,47,-5,-412
22,52,47,-4,-325
23,49,47,-1,-95
24,47,47,0,56
25,43,47,3,295
26,40,47,7,685
27,36,47,11,1804
28,32,47,15,1898
29,29,47,18,4285
30,25,47,21,16618
31,22,47,24,1874
32,18,47,29,2198
33,11,47,36,2743
34,3,47,44,3353
35,-1,47,49,3686
36,-3,47,51,3854
37,-1,47,48,3671
38,1,47,46,3489
39,0,47,47,3596
40,-2,47,49,3751
41,-6,47,54,5219
42,-9,47,57,4779
43,-9,47,57,3582
44,-9,47,57,5412
45,-9,47,57,4308
46,-7,47,54,4111
47,-8,47,55,4193
48,-10,47,57,4338
49,-7,47,55,4125
50,-8,47,56,4200
51,-6,47,54,4068
52,-6,47,54,4071
53,-9,47,57,4324
54,-12,47,59,4499
55,-15,47,62,4805
56,-13,47,60,4015
57,-10,47,57,2373
58,-7,47,55,-107
59,-4,47,52,3956
60,-3,47,51,3874
61,-4,47,52,3904
62,-6,47,53,4043
63,-9,47,57,4305
64,-14,47,62,4657
65,-16,47,63,4787
66,-15,47,62,4721
67,-12,47,60,4516
68,-7,47,55,4151
69,-5,47,53,3983
70,-5,47,53,4000
71,-5,47,53,4959
72,-8,47,56,6359
73,-9,47,57,-2100
74,-10,47,58,4363
75,-10,47,57,4346
76,-8,47,56,4228
77,-9,47,57,4321
78,-10,47,57,4336
79,-10,47,58,4406
80,-11,47,58,4411
81,-10,47,57,4334
82,-10,47,58,4362
83,-9,47,57,4194
84,-8,47,56,4068
85,-3,47,51,2153
86,-2,47,50,2244
87,-2,47,50,6106
88,-1,47,48,3670
89,-3,47,51,3854
90,-3,47,51,3835
91,-2,47,50,3787
92,-5,47,52,3971
93,-6,47,53,4048
94,-6,47,54,4066
95,-8,47,55,4184
96,-7,47,55,4136
97,-7,47,54,4091
98,-8,47,56,4478
99,-7,47,55,3768
100,-7,47,55,4838
101,-7,47,55,1462
102,-6,47,54,4094
103,-3,47,51,3878
104,-3,47,51,3864
105,-3,47,51,3842
106,-4,47,51,3894
107,-4,47,52,3933
108,-6,47,54,4078
109,-11,47,59,4430
110,-15,47,63,4789
111,-21,47,68,5202
112,-23,47,71,5398
113,-22,47,70,4608
114,-20,47,68,3607
115,-19,47,67,4531
116,-17,47,65,4915
117,-16,47,64,4833
118,-19,47,66,5016
119,-19,47,67,5040
120,-18,47,66,5000
121,-17,47,64,4867
122,-13,47,61,4615
123,-11,47,59,4483
124,-12,47,60,4529
125,-13,47,60,4574
126,-12,47,59,4424
127,-11,47,59,4258
128,-9,47,57,3836
129,-7,47,55,-2100
130,-7,47,54,3558
131,-5,47,53,4017
132,-6,47,54,4064
133,-7,47,54,4123
134,-6,47,53,4037
135,-8,47,56,4226
136,-7,47,55,4154
137,-6,47,53,4033
138,-7,47,54,4117
139,-5,47,53,3985
140,-4,47,52,3954
141,-7,47,55,4272
142,-10,47,57,4258
143,-14,47,61,16800
144,-17,47,65,14860
145,-18,47,65,4937
146,-18,47,66,4966
147,-16,47,64,4827
148,-13,47,61,4580
149,-13,47,61,4600
150,-15,47,63,4760
151,-19,47,67,5028
152,-22,47,70,5289
153,-22,47,70,5226
154,-22,47,69,5230
155,-19,47,67,4997
156,-18,47,66,5103
157,-20,47,68,5666
158,-19,47,67,5076
159,-19,47,67,5083
160,-19,47,67,5075
161,-19,47,67,5049
162,-16,47,64,4815
163,-14,47,61,4638
164,-14,47,62,4676
165,-13,47,61,4613
166,-15,47,63,4785
167,-17,47,65,4888
168,-16,47,64,4800
169,-17,47,65,4927
170,-16,47,64,4702
171,-14,47,62,3604
172,-16,47,64,8064
173,-16,47,64,4811
174,-17,47,65,4896
175,-20,47,68,5108
176,-19,47,67,5075
177,-20,47,68,5106
178,-18,47,66,4952
179,-14,47,62,4655
180,-14,47,61,4649
181,-12,47,60,4522
182,-12,47,60,4542
183,-17,47,65,5076
184,-21,47,69,5217
185,-21,47,69,4617
186,-21,47,69,2959
187,-19,47,67,-2100
188,-18,47,66,4955
189,-18,47,66,4991
190,-18,47,66,4984
191,-18,47,65,4941
192,-16,47,63,4794
193,-16,47,64,4854
194,-15,47,63,4725
195,-14,47,62,4651
196,-15,47,62,4716
197,-14,47,62,4759
198,-18,47,66,5335
199,-23,47,71,6336
200,-25,47,72,5616
201,-24,47,72,191
202,-22,47,70,5252
203,-17,47,64,4870
204,-12,47,60,4508
205,-10,47,58,4366
206,-9,47,56,4272
207,-11,47,59,4459
208,-14,47,62,4661
209,-18,47,66,4996
210,-21,47,69,5206
211,-21,47,69,5168
212,-22,47,69,5249
213,-19,47,67,4234
214,-16,47,64,2823
215,-12,47,59,-2100
216,-6,47,54,4087
217,0,47,47,3593
218,4,47,42,3214
219,11,47,36,2729
220,16,47,31,2355
221,21,47,25,1937
222,29,47,18,1402
