,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:36:28,-45,-30696,-45,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-45,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:28,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:29,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:29,-45,-30696,-45,0,0,0,0,0,0,0,0,0,0,0,0
15:36:29,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:29,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:29,-46,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:30,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:30,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:30,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:30,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:30,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:31,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:31,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:31,-48,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:31,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:31,-50,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:32,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:32,-49,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:32,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:32,-48,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:32,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:33,-48,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:33,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:33,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:33,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:33,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:34,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:34,-48,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:34,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:34,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:34,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:35,-49,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:35,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:35,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:35,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:35,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:36,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:36,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:36,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:36,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:36,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:37,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:37,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:37,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:37,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:37,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:38,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:38,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:38,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:38,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:38,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:39,-47,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:39,-46,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:39,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:39,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:39,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:40,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:40,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:40,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:40,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:40,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:41,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:41,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:41,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:41,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:41,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:42,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:42,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:42,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:42,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:42,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:43,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:43,-49,-30696,-49,0,0,0,0,0,0,0,0,0,0,0,0
15:36:43,-49,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:43,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:43,-48,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:44,-47,-30696,-48,0,0,0,0,0,0,0,0,0,0,0,0
15:36:44,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:44,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:44,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:44,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:45,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:45,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:45,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:45,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:45,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:46,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:46,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:46,-47,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:46,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:46,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:47,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:47,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:47,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:47,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:47,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:48,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:48,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:48,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:48,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:48,-46,-30696,-46,0,0,0,0,0,0,0,0,0,0,0,0
15:36:49,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:49,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:49,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
15:36:49,-47,-30696,-47,0,0,0,0,0,0,0,0,0,0,0,0
