,alt,target,error,pid_result
0,1778,1778,-3,0
1,1766,1766,-3,0
2,1753,1753,-3,0
3,1733,1733,4,0
4,1708,1724,15,0
5,1689,1724,35,0
6,1676,1724,47,0
7,1657,1724,66,327
8,1642,1724,82,791
9,1611,1724,112,2000
10,1581,1724,143,2000
11,1553,1724,171,2000
12,1521,1724,202,2000
13,1485,1724,239,2000
14,1447,1724,276,2000
15,1404,1724,320,2000
16,1358,1724,366,2000
17,1316,1724,408,2000
18,1269,1724,454,2000
19,1223,1724,501,2000
20,1185,1724,538,2000
21,1158,1158,544,2000
22,1135,1135,544,2000
23,1119,1119,544,2000
24,1107,1110,2,-2
25,1096,1110,14,0
26,1083,1110,26,0
27,1070,1110,39,0
28,1053,1110,56,111
29,1032,1110,77,632
30,1013,1110,96,1339
31,994,1110,115,2000
32,976,1110,133,2000
33,962,1110,147,2000
34,946,1110,163,2000
35,938,1110,172,2000
36,933,933,173,2000
37,930,930,173,2000
38,929,929,173,2000
39,927,927,173,2000
40,924,924,173,2000
41,919,919,173,2000
42,912,912,173,2000
43,903,903,173,2000
44,893,899,6,0
45,883,899,16,0
46,874,899,25,0
47,864,899,35,0
48,851,899,48,0
49,834,899,64,287
50,815,899,84,876
51,793,899,106,1795
52,771,771,106,1795
53,748,766,17,0
54,731,766,35,-3
55,716,766,49,0
56,700,766,66,318
57,690,766,76,596
58,679,679,86,949
59,670,670,86,949
60,662,662,86,949
61,655,655,86,949
62,646,646,86,949
63,641,641,86,949
64,633,633,86,949
65,627,627,86,949
66,593,626,32,0
67,536,626,90,1089
68,496,626,130,2000
69,455,626,171,2000
70,417,626,209,2000
71,389,626,237,2000
72,366,626,260,2000
73,345,626,280,2000
74,328,626,297,2000
75,308,308,313,2000
76,290,290,313,2000
77,271,271,313,2000
78,254,258,3,0
79,244,258,14,-1
80,236,258,21,0
81,228,258,29,0
82,217,258,40,0
83,200,258,57,131
84,180,258,77,632
85,163,258,94,1247
86,147,147,94,1247
87,135,139,4,0
88,124,139,14,0
89,108,139,30,0
90,93,139,45,0
91,76,139,63,251
92,59,139,80,730
93,46,139,93,1216
94,31,139,107,1856
95,21,139,118,2000
96,8,139,130,2000
97,-2,139,142,2000
98,-11,139,151,2000
99,-17,139,157,2000
100,-22,139,162,2000
101,-20,139,160,2000
102,-17,139,156,2000
103,-15,-15,155,2000
104,-10,-10,155,2000
105,-6,-6,155,2000
106,0,0,155,2000
107,6,6,155,2000
108,13,13,155,2000
109,19,19,155,2000
110,24,24,155,2000
111,31,31,155,2000
112,34,34,155,2000
113,32,32,155,2000
114,32,32,155,2000
115,31,31,155,2000
116,30,30,155,2000
117,31,31,155,2000
118,29,29,155,2000
119,26,26,155,2000
120,24,24,155,2000
121,21,21,155,2000
122,18,18,155,2000
123,16,16,155,2000
124,10,10,155,2000
125,7,7,155,2000
126,6,6,155,2000
127,2,2,155,2000
128,0,0,155,2000
129,-6,-6,155,2000
130,-11,-11,155,2000
131,-14,-14,155,2000
132,-19,-19,155,2000
133,-20,-20,155,2000
134,-22,-22,155,2000
135,-22,-22,155,2000
136,-19,-19,155,2000
137,-18,-18,155,2000
138,-16,-16,155,2000
139,-15,-15,155,2000
140,-14,-14,155,2000
141,-10,-10,155,2000
142,-6,-6,155,2000
143,-2,-2,155,2000
144,0,0,155,2000
145,2,2,155,2000
146,7,7,155,2000
147,16,16,155,2000
148,26,26,155,2000
149,32,32,155,2000
150,33,33,155,2000
151,33,33,155,2000
152,30,30,155,2000
153,30,30,155,2000
154,31,31,155,2000
155,31,31,155,2000
156,31,31,155,2000
157,33,33,155,2000
158,37,37,155,2000
159,42,42,155,2000
160,46,46,155,2000
161,49,49,155,2000
162,50,50,155,2000
163,51,51,155,2000
164,52,52,155,2000
165,54,54,155,2000
166,51,51,155,2000
167,49,49,155,2000
168,46,46,155,2000
169,41,41,155,2000
170,42,42,155,2000
171,45,45,155,2000
172,46,46,155,2000
173,51,51,155,2000
174,52,52,155,2000
175,54,54,155,2000
176,62,62,155,2000
177,69,69,155,2000
178,77,77,155,2000
179,87,87,155,2000
180,93,93,155,2000
181,99,99,155,2000
182,104,104,155,2000
183,110,110,155,2000
184,116,116,155,2000
185,123,123,155,2000
186,126,126,155,2000
187,127,127,155,2000
188,127,127,155,2000
189,125,125,155,2000
190,124,124,155,2000
191,121,121,155,2000
192,117,117,155,2000
193,112,112,155,2000
194,107,107,155,2000
195,99,99,155,2000
196,89,89,155,2000
197,84,84,155,2000
198,76,76,155,2000
199,69,69,155,2000
200,63,63,155,2000
201,52,52,155,2000
202,40,40,155,2000
203,30,30,155,2000
204,19,19,155,2000
205,11,11,155,2000
206,2,2,155,2000
207,-8,-8,155,2000
208,-17,-17,155,2000
209,-23,-23,155,2000
210,-30,-30,155,2000
211,-33,-33,155,2000
212,-35,-35,155,2000
213,-43,-43,155,2000
214,-52,-52,155,2000
215,-54,-54,155,2000
216,-56,-56,155,2000
217,-52,-52,155,2000
218,-49,-49,155,2000
219,-50,-50,155,2000
220,-52,-52,155,2000
221,-56,-56,155,2000
222,-57,-57,155,2000
223,-56,-56,155,2000
224,-53,-53,155,2000
225,-51,-51,155,2000
226,-48,-48,155,2000
227,-45,-45,155,2000
228,-48,-48,155,2000
229,-47,-47,155,2000
230,-47,-47,155,2000
231,-47,-47,155,2000
232,-46,-46,155,2000
233,-47,-47,155,2000
234,-47,-47,155,2000
235,-46,-46,155,2000
236,-47,-47,155,2000
237,-45,-45,155,2000
238,-41,-41,155,2000
239,-40,-40,155,2000
240,-40,-40,155,2000
241,-42,-42,155,2000
242,-51,-51,155,2000
243,-56,-56,155,2000
244,-58,-58,155,2000
245,-59,-59,155,2000
246,-58,-58,155,2000
247,-56,-56,155,2000
248,-55,-55,155,2000
249,-48,-48,155,2000
250,-42,-42,155,2000
251,-39,-39,155,2000
252,-35,-35,155,2000
253,-32,-32,155,2000
254,-28,-28,155,2000
255,-24,-24,155,2000
256,-23,-23,155,2000
257,-22,-22,155,2000
258,-25,-25,155,2000
259,-30,-30,155,2000
260,-32,-32,155,2000
261,-37,-37,155,2000
262,-39,-39,155,2000
263,-41,-41,155,2000
264,-40,-40,155,2000
265,-39,-39,155,2000
266,-39,-39,155,2000
267,-41,-41,155,2000
268,-49,-49,155,2000
269,-54,-54,155,2000
270,-58,-58,155,2000
271,-59,-59,155,2000
272,-56,-56,155,2000
273,-58,-58,155,2000
274,-58,-58,155,2000
275,-59,-59,155,2000
276,-63,-63,155,2000
277,-61,-61,155,2000
278,-58,-58,155,2000
279,-58,-58,155,2000
280,-55,-55,155,2000
281,-61,-61,155,2000
