,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:51:40,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:51:46,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:51:51,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:51:56,-87,-30696,-87,0,0,0,0,0,0,0,0,0,0,0,0
15:52:01,-87,-30696,-87,0,0,0,0,0,0,0,0,0,0,0,0
15:52:06,-87,-30696,-87,0,0,0,0,0,0,0,0,0,0,0,0
15:52:11,-87,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:16,-87,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:21,-87,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:26,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:31,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:36,-88,-30696,-88,0,0,0,0,0,0,0,0,0,0,0,0
15:52:41,-87,-30696,-87,0,0,0,0,0,0,0,0,0,0,0,0
