,alt,target,error,pid_result
0,20,20,0,0
1,22,22,0,0
2,22,22,0,0
3,21,21,0,0
4,22,22,0,0
5,22,22,0,0
6,23,23,0,0
7,21,21,0,0
8,19,19,0,0
9,21,21,0,0
10,21,21,0,0
11,23,23,0,0
12,25,25,0,0
13,25,25,0,0
14,25,25,0,0
15,24,24,0,0
16,23,23,0,0
17,22,22,0,0
18,24,24,0,0
19,28,28,0,0
20,32,32,0,0
21,37,37,0,0
22,40,40,0,0
23,41,41,0,0
24,39,39,0,0
25,39,39,0,0
26,39,39,0,0
27,40,40,0,0
28,40,40,0,0
29,41,41,0,0
30,38,38,0,0
31,37,37,0,0
32,38,38,0,0
33,40,40,0,0
34,44,44,0,0
35,46,46,0,0
36,43,43,0,0
37,41,41,0,0
38,40,40,0,0
39,40,40,0,0
40,44,44,0,0
41,45,45,0,0
42,44,44,0,0
43,42,42,0,0
44,40,40,0,0
45,39,39,0,0
46,38,38,0,0
47,39,39,0,0
48,42,42,0,0
49,44,44,0,0
50,43,43,0,0
51,47,47,0,0
52,47,47,0,0
53,48,48,0,0
54,48,48,0,0
55,46,46,0,0
56,47,47,0,0
57,45,45,0,0
58,46,46,0,0
59,48,48,0,0
60,48,48,0,0
61,52,52,0,0
62,55,55,0,0
63,56,56,0,0
64,56,56,0,0
65,56,56,0,0
66,55,55,0,0
67,54,54,0,0
68,53,53,0,0
69,55,55,0,0
70,57,57,0,0
71,60,60,0,0
72,63,63,0,0
73,66,66,0,0
74,67,67,0,0
75,64,64,0,0
76,63,63,0,0
77,62,62,0,0
78,62,62,0,0
79,63,63,0,0
80,62,62,0,0
81,61,61,0,0
82,60,60,0,0
83,59,59,0,0
84,58,58,0,0
85,56,56,0,0
86,56,56,0,0
87,55,55,0,0
88,57,57,0,0
89,60,60,0,0
90,62,62,0,0
91,64,64,0,0
92,66,66,0,0
93,67,67,0,0
94,66,66,0,0
95,65,65,0,0
96,62,62,0,0
97,59,59,0,0
98,58,58,0,0
99,59,59,0,0
100,62,62,0,0
101,62,62,0,0
102,63,63,0,0
103,64,64,0,0
104,63,63,0,0
105,64,64,0,0
106,65,65,0,0
107,65,65,0,0
108,68,68,0,0
109,70,70,0,0
110,70,70,0,0
111,72,72,0,0
112,74,74,0,0
113,73,73,0,0
114,73,73,0,0
115,74,74,0,0
116,73,73,0,0
117,74,74,0,0
118,73,73,0,0
119,72,72,0,0
120,72,72,0,0
121,73,73,0,0
122,74,74,0,0
123,75,75,0,0
124,77,77,0,0
125,77,77,0,0
126,78,78,0,0
127,74,74,0,0
128,69,69,0,0
129,66,66,0,0
130,64,64,0,0
131,66,66,0,0
132,69,69,0,0
133,69,69,0,0
134,71,71,0,0
135,73,73,0,0
136,74,74,0,0
137,76,76,0,0
138,75,75,0,0
139,73,73,0,0
140,73,73,0,0
141,73,73,0,0
142,74,74,0,0
143,77,77,0,0
144,81,81,0,0
145,83,83,0,0
146,83,83,0,0
147,81,81,0,0
148,77,77,0,0
149,72,72,0,0
150,71,71,0,0
151,75,71,-3,0
152,76,71,-5,0
153,80,71,-8,0
154,82,71,-10,0
155,79,71,-8,0
156,78,71,-7,0
157,78,71,-6,0
158,76,71,-5,0
159,77,71,-5,0
160,79,71,-7,0
161,81,71,-9,0
162,80,71,-9,0
163,79,71,-7,0
164,78,71,-7,0
165,77,71,-5,0
166,77,71,-5,0
167,77,71,-5,0
168,76,71,-4,0
169,73,71,-1,0
170,68,71,3,-1
171,62,71,8,0
172,56,71,14,0
173,50,71,20,0
174,47,71,24,0
175,44,71,26,0
176,42,71,29,0
177,37,71,33,0
178,29,71,41,0
179,20,71,50,47
180,11,71,59,689
181,5,71,65,1235
182,4,71,66,1362
183,4,71,67,1397
184,6,71,65,1203
185,8,71,62,942
186,9,71,61,852
187,11,71,60,760
188,9,71,61,861
189,8,71,63,1020
190,7,71,63,1032
191,8,71,63,993
192,7,71,64,1079
193,4,71,66,1331
194,2,71,68,1536
195,0,71,70,1786
196,0,71,70,1779
197,2,71,69,1617
198,0,71,70,1757
199,0,71,70,1750
200,1,71,70,1684
201,1,71,69,1641
202,4,71,67,1398
203,5,71,65,1242
204,4,71,66,1362
205,3,71,68,1509
206,4,71,67,1404
207,6,71,65,1211
208,10,71,61,809
209,11,71,60,754
210,8,71,63,1014
211,6,71,65,1202
212,3,71,67,1435
213,5,71,66,1314
214,7,71,63,1041
215,10,71,61,830
216,10,71,60,788
217,8,71,62,979
218,6,71,65,1202
219,5,71,66,1307
220,5,71,65,1266
221,6,71,64,1129
222,6,71,65,1202
223,5,71,66,1270
224,5,71,66,1302
225,6,71,65,1183
226,9,71,61,878
227,12,71,59,665
228,13,71,57,553
229,17,71,53,251
230,20,71,51,86
231,25,71,46,0
232,33,71,37,0
233,39,71,31,0
234,43,71,27,0
235,50,71,20,0
236,56,71,14,0
237,64,71,6,0
238,73,71,-2,0
239,79,71,-8,0
240,83,71,-12,0
241,82,71,-11,0
242,83,71,-11,0
243,85,71,-13,0
244,86,71,-15,0
245,90,71,-19,0
246,92,71,-20,0
247,89,71,-17,0
248,85,71,-13,0
249,80,71,-8,0
250,70,71,0,0
251,65,71,5,0
252,58,71,12,0
253,49,71,22,0
254,41,71,29,0
255,33,71,37,0
256,27,71,44,0
257,23,71,48,0
258,21,71,50,7
259,21,71,50,1
260,22,71,48,0
261,23,71,48,0
262,22,71,48,0
263,19,71,52,151
264,14,71,57,489
265,11,71,59,706
266,12,71,59,678
267,13,71,57,549
268,15,71,55,393
269,16,71,54,297
270,16,71,54,324
271,13,71,57,542
272,12,71,58,628
273,12,71,58,611
274,11,71,59,687
275,12,71,58,600
276,13,71,58,588
277,13,71,58,568
278,15,71,56,403
279,13,71,57,555
280,13,71,57,540
281,12,71,59,675
282,9,71,62,915
283,9,71,62,914
284,5,71,66,1309
285,3,71,67,1417
286,2,71,68,1524
287,1,71,69,1669
288,2,71,68,1571
289,2,71,68,1524
290,2,71,69,1573
291,2,71,68,1552
292,4,71,66,1353
293,5,71,66,1310
294,4,71,67,1375
295,2,71,69,1575
296,-2,71,73,2109
297,-8,71,80,2921
298,-11,71,82,3283
