,alt,target,error,pid_result
0,-2,-2,0,0
1,-2,-2,0,0
2,-2,-2,0,0
3,5,5,0,0
4,2,2,0,0
5,0,0,0,0
6,0,0,0,0
7,-2,-2,0,0
8,-1,-1,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,4,4,0,0
13,6,6,0,0
14,2,2,0,0
15,-1,-1,0,0
16,-1,-1,0,0
17,-1,-1,0,0
18,0,0,0,0
19,4,4,0,0
20,5,5,0,0
21,6,6,0,0
22,7,7,0,0
23,5,5,0,0
24,2,2,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,34840,0
28,1,1,0,0
29,3,3,0,0
30,2,2,0,0
31,3,3,0,0
32,5,5,0,0
33,17,17,0,0
34,17,17,0,0
35,16,16,0,0
36,11,11,0,0
37,9,9,0,0
38,6,6,0,0
39,5,5,0,0
40,3,3,0,0
41,4,4,0,0
42,-7,-7,0,0
43,-11,-11,0,0
44,-12,-12,0,0
45,-10,-10,0,0
46,-8,-8,0,0
47,-7,-7,0,0
48,-10,-10,0,0
49,-10,-10,0,0
50,-11,-11,0,0
51,-9,-9,0,0
52,-8,-8,0,0
53,-5,-5,0,0
54,-6,-6,0,0
55,-9,-9,0,0
56,-11,-11,0,0
57,-13,-13,0,0
58,-14,-14,0,0
59,-14,-14,0,0
60,-14,-14,0,0
61,-14,-14,0,0
62,-14,-14,0,0
63,-11,-11,0,0
64,-7,-7,0,0
65,-6,-6,0,0
66,-3,-3,0,0
67,-6,-6,0,0
68,-6,-6,0,0
69,-5,-5,0,0
70,-2,-2,0,0
71,-4,-4,0,0
72,-8,-8,0,0
73,-6,-6,0,0
74,-7,-7,0,0
75,-6,-6,0,0
76,-8,-8,0,0
77,-12,-12,0,0
78,-15,-15,0,0
79,-16,-16,0,0
80,-14,-14,0,0
81,-9,-9,0,0
82,-12,-12,0,0
83,-20,-20,0,0
84,-27,-27,0,0
85,-27,-27,0,0
86,-22,-22,0,0
87,-16,-16,0,0
88,-13,-13,0,0
89,-22,-22,0,0
90,-25,-25,0,0
91,-22,-22,0,0
92,-18,-18,0,0
93,-11,-11,0,0
94,-15,-15,0,0
95,-11,-11,0,0
96,-13,-13,0,0
97,-18,-18,0,0
98,-20,-20,0,0
99,-27,-27,0,0
100,-31,-31,0,0
101,-29,-29,0,0
102,-24,-24,0,0
103,-20,-20,0,0
104,-18,-18,0,0
105,-25,-25,0,0
106,-24,-24,0,0
107,-22,-22,0,0
108,-24,-24,0,0
109,-30,-30,0,0
110,-42,-42,0,0
111,-44,-44,0,0
112,-45,-45,0,0
113,-35,-35,0,0
114,-26,-26,0,0
115,-27,-27,0,0
116,-27,-27,0,0
117,-33,-33,0,0
118,-33,-33,0,0
119,-31,-31,0,0
120,-31,-31,0,0
121,-36,-36,0,0
122,-37,-37,0,0
123,-54,-54,0,0
124,-66,-66,0,0
125,-72,-72,0,0
126,-75,-75,0,0
127,-58,-58,0,0
128,-36,-36,0,0
129,-22,-22,0,0
130,-16,-16,0,0
131,-14,-14,0,0
132,-17,-17,0,0
133,-14,-14,0,0
134,-7,-7,0,0
135,-6,-6,0,0
136,-7,-7,0,0
137,-8,-8,0,0
138,-11,-11,0,0
139,-11,-11,0,0
140,-13,-13,0,0
141,-15,-15,0,0
142,-14,-14,0,0
143,-16,-16,0,0
144,-16,-16,0,0
145,-15,-15,0,0
146,-12,-12,0,0
147,-9,-9,0,0
148,-9,-9,0,0
149,-10,-10,0,0
150,-10,-10,0,0
151,-10,-10,0,0
152,-10,-10,0,0
153,-7,-7,0,0
154,-9,-9,0,0
155,-10,-10,0,0
156,-9,-9,0,0
157,-10,-10,0,0
158,-9,-9,0,0
159,-8,-8,0,0
160,-7,-7,0,0
161,-5,-5,0,0
162,-3,-3,0,0
163,-3,-3,0,0
164,-4,-4,0,0
165,-4,-4,0,0
166,-5,-5,0,0
167,-5,-5,0,0
168,-4,-4,0,0
169,-4,-4,0,0
170,-6,-6,0,0
171,-9,-9,0,0
172,-10,-10,0,0
173,-12,-12,0,0
174,-11,-11,0,0
175,-9,-9,0,0
176,-7,-7,0,0
177,-5,-5,0,0
178,-4,-4,0,0
179,-3,-3,0,0
180,-4,-4,0,0
181,-4,-4,0,0
182,-4,-4,0,0
183,-10,-10,0,0
184,-17,-17,0,0
185,-25,-25,0,0
186,-32,-32,0,0
187,-34,-34,0,0
188,-31,-31,0,0
189,-30,-30,0,0
190,-28,-28,0,0
191,-22,-22,0,0
192,-16,-16,0,0
193,-8,-8,0,0
194,-2,-2,0,0
195,0,0,0,0
196,0,0,0,0
197,-1,-1,0,0
198,-1,-1,0,0
199,-2,-2,0,0
200,-3,-3,0,0
201,-1,-1,0,0
202,0,0,0,0
203,2,2,0,0
204,5,5,0,0
205,6,6,0,0
206,4,4,0,0
207,5,5,0,0
208,4,4,0,0
209,2,2,0,0
210,0,0,0,0
211,-4,-4,0,0
212,-7,-7,0,0
213,-8,-8,0,0
214,-9,-9,0,0
215,-12,-12,0,0
216,-11,-11,0,0
217,-10,-10,0,0
218,-8,-8,0,0
219,-3,-3,0,0
220,-5,-5,0,0
221,-7,-7,0,0
222,-9,-9,0,0
223,-12,-12,0,0
224,-10,-10,0,0
225,-8,-8,0,0
226,-8,-8,0,0
227,-6,-6,0,0
228,-9,-9,0,0
229,-10,-10,0,0
230,-12,-12,0,0
231,-11,-11,0,0
232,-8,-8,0,0
233,-8,-8,0,0
234,-6,-6,0,0
235,-6,-6,0,0
236,-6,-6,0,0
237,-4,-4,0,0
238,-4,-4,0,0
239,-1,-1,0,0
240,-1,-1,0,0
241,-5,-5,0,0
242,-9,-9,0,0
243,-12,-12,0,0
244,-17,-17,0,0
245,-18,-18,0,0
246,-16,-16,0,0
247,-15,-15,0,0
248,-9,-9,0,0
249,-3,-3,0,0
250,-2,-2,0,0
251,-6,-6,0,0
252,-10,-10,0,0
253,-15,-15,0,0
254,-14,-14,0,0
255,-15,-15,0,0
256,-15,-15,0,0
257,-11,-11,0,0
258,-15,-15,0,0
259,-17,-17,0,0
260,-22,-22,0,0
261,-25,-25,0,0
262,-24,-24,0,0
263,-22,-22,0,0
264,-19,-19,0,0
265,-19,-19,0,0
266,-17,-17,0,0
267,-17,-17,0,0
268,-15,-15,0,0
269,-14,-14,0,0
270,-15,-15,0,0
271,-13,-13,0,0
272,-11,-11,0,0
273,-8,-8,0,0
274,-9,-9,0,0
275,-12,-12,0,0
276,-16,-16,0,0
277,-18,-18,0,0
278,-17,-17,0,0
279,-16,-16,0,0
