,alt,target,error,pid_result
0,8919040,16640,16640,0
1,64,64,0,0
2,67,67,0,0
3,73,73,0,0
4,76,76,0,0
5,75,75,0,0
6,74,74,0,0
7,75,75,0,0
8,73,73,0,0
9,73,73,0,0
10,79,79,0,0
11,79,79,0,0
12,66,66,0,0
13,66,66,0,0
14,73,73,0,0
15,75,75,0,0
16,72,72,0,0
17,77,77,0,0
18,75,75,0,8919040
19,81,81,0,0
20,669,669,28,0
21,642,654,11,0
22,610,654,44,0
23,573,654,81,1784
24,535,654,119,5000
25,496,654,158,5000
26,465,654,189,5000
27,425,654,228,5000
28,391,654,263,5000
29,357,654,297,5000
30,332,654,322,5000
31,316,654,337,5000
32,307,654,347,5000
33,304,654,350,5000
34,304,654,349,5000
35,306,654,347,5000
36,309,654,345,5000
37,315,654,339,5000
38,323,654,331,5000
39,334,654,319,5000
40,351,654,303,5000
41,366,654,288,5000
42,389,654,265,5000
43,416,654,238,5000
44,444,654,210,5000
45,474,654,180,5000
46,506,654,148,5000
47,538,654,116,5000
48,573,654,80,1755
49,750,750,85,2117
50,732,732,85,2117
51,708,708,85,2117
52,645,645,85,2117
53,575,645,69,940
54,543,645,102,3725
55,509,645,135,5000
56,476,645,168,5000
57,443,645,202,5000
58,400,645,245,5000
59,357,645,287,5000
60,321,645,323,5000
61,295,645,350,5000
62,281,645,363,5000
63,275,645,369,5000
64,274,645,370,5000
65,276,645,368,5000
66,280,645,364,5000
67,285,645,359,5000
68,294,294,352,5000
69,307,307,352,5000
70,320,320,352,5000
71,334,334,352,5000
72,344,344,352,5000
73,357,357,352,5000
74,367,367,352,5000
75,374,374,352,5000
76,379,379,352,5000
77,380,380,0,0
78,380,380,0,0
79,375,380,5,0
80,366,380,13,0
81,355,355,18,0
82,344,344,18,0
83,334,334,18,0
84,327,327,18,0
85,320,320,18,0
86,312,312,18,0
87,305,305,18,0
88,296,296,18,0
89,282,282,18,0
90,265,265,18,0
91,247,247,18,0
92,230,230,18,0
93,216,216,18,0
94,203,203,18,0
95,189,189,18,0
96,173,173,18,0
97,160,160,18,0
98,151,151,18,0
99,148,148,18,0
100,152,152,18,0
101,151,151,18,0
102,151,151,18,0
103,154,154,18,0
104,155,155,18,0
105,159,159,18,0
106,166,166,18,0
107,169,169,18,0
108,174,174,18,0
109,177,177,18,0
110,179,179,18,0
111,181,181,18,0
112,183,183,18,0
113,183,183,18,0
114,183,183,18,0
115,178,178,18,0
116,169,169,18,0
117,164,164,18,0
118,158,158,18,0
119,153,153,18,0
120,149,149,18,0
121,145,145,18,0
122,141,141,18,0
123,136,136,18,0
124,135,135,18,0
125,133,133,18,0
126,131,131,18,0
127,129,129,18,0
128,128,128,18,0
129,128,128,18,0
130,129,129,18,0
131,132,132,18,0
132,134,134,18,0
133,136,136,18,0
134,134,134,18,0
135,130,130,18,0
136,126,126,18,0
137,120,120,18,0
138,119,119,18,0
139,117,117,18,0
140,115,115,18,0
141,113,113,18,0
142,110,110,18,0
143,108,108,18,0
144,105,105,18,0
145,101,101,18,0
146,95,95,18,0
147,93,93,18,0
148,93,93,18,0
149,93,93,18,0
150,95,95,18,0
151,49,49,18,0
152,49,49,18,0
153,51,51,18,0
154,49,49,18,0
155,49,49,18,0
156,50,50,18,0
157,52,52,18,0
158,53,53,18,0
159,49,49,18,0
160,45,45,18,0
161,42,42,18,0
162,42,42,18,0
163,43,43,18,0
164,45,45,18,0
165,44,44,18,0
166,45,45,18,0
167,46,46,18,0
168,48,48,18,0
169,49,49,18,0
170,49,49,18,0
171,49,49,18,0
172,48,48,18,0
173,49,49,18,0
174,48,48,18,0
175,51,51,18,0
176,53,53,18,0
177,55,55,18,0
178,58,58,18,0
179,58,58,18,0
180,58,58,18,0
