,alt,target,error,pid_result
0,0,0,0,0
1,-2,-2,0,0
2,-3,-3,0,0
3,-5,-5,0,0
4,-5,-5,0,0
5,3,3,0,0
6,1,1,0,0
7,0,0,0,0
8,0,0,0,0
9,-2,-2,0,0
10,-3,-3,0,0
11,-4,-4,0,0
12,3,3,0,0
13,3,3,0,0
14,2,2,0,0
15,3,3,0,0
16,3,3,0,0
17,1,1,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,4,4,0,0
22,4,4,0,0
23,15,15,0,0
24,17,17,0,0
25,14,14,0,0
26,14,14,0,0
27,-19,-19,0,0
28,528,588,59,387
29,514,514,64,663
30,500,500,64,663
31,484,484,64,663
32,471,471,64,663
33,458,458,64,663
34,447,447,64,663
35,437,437,64,663
36,431,431,64,663
37,423,423,64,663
38,415,415,64,663
39,407,407,64,663
40,402,402,64,663
41,400,400,64,663
42,398,398,64,663
43,396,396,64,663
44,394,394,64,663
45,395,395,64,663
46,395,395,64,663
47,397,397,64,663
48,398,398,64,663
49,400,400,64,663
50,403,400,-2,0
51,406,400,-5,0
52,409,400,-8,0
53,411,400,-10,0
54,410,400,-9,0
55,412,400,-11,0
56,416,400,-15,0
57,420,400,-19,0
58,425,400,-24,0
59,424,400,-23,0
60,421,400,-20,0
61,417,417,-18,0
62,414,414,-18,0
63,412,412,-18,0
64,410,410,-18,0
65,406,406,-18,0
66,400,400,-18,0
67,394,394,-18,0
68,388,388,-18,0
69,382,382,-18,0
70,373,373,-18,0
71,367,367,-18,0
72,364,364,-18,0
73,363,363,-18,0
74,367,367,-18,0
75,371,371,-18,0
76,372,372,-18,0
77,377,377,-18,0
78,384,384,-18,0
79,390,390,-18,0
80,397,397,-18,0
81,404,404,0,0
82,409,404,-4,0
83,416,404,-11,0
84,426,404,-21,0
85,434,404,-29,0
86,441,404,-36,0
87,446,404,-41,0
88,448,404,-43,0
89,454,404,-50,0
90,458,404,-53,-125
91,460,404,-55,-199
92,460,404,-55,-201
93,454,404,-50,-1
94,450,404,-45,0
95,443,404,-38,0
96,433,404,-28,0
97,422,404,-17,0
98,413,404,-8,0
99,405,405,0,0
100,395,395,0,0
101,382,382,0,0
102,368,368,0,0
103,351,351,0,0
104,336,336,0,0
105,320,320,0,0
106,299,299,0,0
107,277,277,0,0
108,259,259,0,0
109,247,247,0,0
110,235,235,0,0
111,226,226,0,0
112,218,218,0,0
113,211,211,0,0
114,205,205,0,0
115,205,205,0,0
116,202,202,0,0
117,198,198,0,0
118,197,197,0,0
119,196,196,0,0
120,198,198,0,0
121,200,200,0,0
122,204,204,0,0
123,206,206,0,0
124,208,208,0,0
125,211,211,0,0
126,213,213,0,0
127,216,216,0,0
128,218,218,0,0
129,218,218,0,0
130,216,216,0,0
131,209,209,0,0
132,202,202,0,0
133,196,196,0,0
134,190,190,0,0
135,181,181,0,0
136,169,169,0,0
137,154,154,0,0
138,129,129,0,0
139,118,118,0,0
140,110,110,0,0
141,104,104,0,0
142,101,101,0,0
143,88,88,0,0
144,82,82,0,0
145,74,74,0,0
146,70,70,0,0
147,67,67,0,0
148,62,62,0,0
149,60,60,0,0
150,57,57,0,0
151,55,55,0,0
152,55,55,0,0
153,54,54,0,0
154,49,49,0,0
155,43,43,0,0
156,37,37,0,0
157,33,33,0,0
158,29,29,0,0
159,28,28,0,0
160,31,31,0,0
161,29,29,0,0
162,23,23,0,0
163,15,15,0,0
164,6,6,0,0
165,0,0,0,0
166,0,0,0,0
167,4,4,0,0
168,6,6,0,0
169,13,13,0,0
170,17,17,0,0
171,16,16,0,0
172,13,13,0,0
173,8,8,0,0
174,1,1,0,0
175,0,0,0,0
176,0,0,0,0
177,1,1,0,0
178,5,5,0,0
179,7,7,0,0
180,7,7,0,0
