,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:42:58,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-61,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:42:58,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:42:59,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:42:59,-62,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:59,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:59,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:42:59,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:00,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:00,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:00,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:00,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:00,-60,-30696,-60,0,0,0,0,0,0,0,0,0,0,0,0
15:43:01,-60,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:01,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:01,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:01,-62,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:01,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:02,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:02,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:02,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:02,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:02,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:03,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:03,-62,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:03,-61,-30696,-61,0,0,0,0,0,0,0,0,0,0,0,0
15:43:03,-61,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:03,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:04,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:04,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:04,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:04,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:04,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:05,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:05,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
15:43:05,-62,-30696,-62,0,0,0,0,0,0,0,0,0,0,0,0
