,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:47:07,-75,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-75,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-75,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:07,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:08,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:09,-76,-30696,-76,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-74,-30696,-74,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-74,-30696,-74,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-74,-30696,-74,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:10,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:11,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
15:47:12,-75,-30696,-75,0,0,0,0,0,0,0,0,0,0,0,0
