,alt,target,error,pid_result
0,67,67,0,0
1,68,68,0,0
2,70,70,0,0
3,73,73,0,0
4,77,77,0,0
5,78,78,0,0
6,78,78,0,0
7,76,76,0,0
8,78,78,0,0
9,82,82,0,0
10,86,86,0,0
11,90,90,0,0
12,94,94,0,0
13,99,99,0,0
14,102,102,0,0
15,104,104,0,0
16,109,109,0,0
17,111,111,0,0
18,112,112,0,0
19,114,114,0,0
20,114,114,0,0
21,112,112,0,0
22,114,114,0,0
23,116,116,0,0
24,119,119,0,0
25,123,123,0,0
26,126,126,0,0
27,126,126,0,0
28,127,127,0,0
29,129,129,0,0
30,129,129,0,0
31,130,130,0,0
32,126,126,0,0
33,122,122,0,0
34,121,121,0,0
35,120,120,0,0
36,124,124,0,0
37,128,128,0,0
38,132,132,0,0
39,132,132,0,0
40,130,130,0,0
41,127,127,0,0
42,125,125,0,0
43,123,123,0,0
44,121,121,0,0
45,120,120,0,0
46,117,117,0,0
47,118,118,0,0
48,121,121,0,0
49,122,122,0,0
50,123,123,0,0
51,122,122,0,0
52,121,121,0,0
53,122,122,0,0
54,123,123,0,0
55,121,121,0,0
56,121,121,0,0
57,118,118,0,0
58,116,116,0,0
59,117,117,0,0
60,116,116,0,0
61,118,118,0,0
62,119,119,0,0
63,122,122,0,0
64,126,126,0,0
65,127,127,0,0
66,126,126,0,0
67,126,126,0,0
68,126,126,0,0
69,128,128,0,0
70,133,133,0,0
71,133,133,0,0
72,133,133,0,0
73,133,133,0,0
74,134,134,0,0
75,136,136,0,0
76,138,138,0,0
77,137,137,0,0
78,136,136,0,0
79,137,137,0,0
80,137,137,0,0
81,139,139,0,0
82,141,141,0,0
83,142,142,0,0
84,141,141,0,0
85,140,140,0,0
86,138,138,0,0
87,135,135,0,0
88,133,133,0,0
89,131,131,0,0
90,132,132,0,0
91,133,133,0,0
92,131,131,0,0
93,129,129,0,0
94,126,126,0,0
95,125,125,0,0
96,125,125,0,0
97,125,125,0,0
98,122,125,3,0
99,121,125,4,0
100,120,125,5,0
101,121,125,4,0
102,122,125,3,0
103,125,125,0,0
104,126,125,0,0
105,126,125,0,0
106,129,125,-3,0
107,129,125,-3,0
108,129,125,-3,0
109,129,125,-3,0
110,128,125,-2,0
111,125,125,0,0
112,121,125,4,0
113,118,125,7,0
114,112,125,13,0
115,108,125,17,0
116,102,125,23,-1
117,94,125,31,0
118,86,125,39,0
119,80,125,45,0
120,74,125,51,1722
121,69,125,56,6391
122,66,125,59,9703
123,59,125,66,13364
124,58,125,67,13531
125,55,125,70,14016
126,53,125,72,14570
127,54,125,71,14387
128,54,125,71,14332
129,56,125,69,13873
130,59,125,66,13207
131,61,125,64,12819
132,63,125,62,12583
133,64,125,61,12326
134,64,125,61,12292
135,65,125,60,11788
136,68,125,57,7384
137,74,125,51,1012
138,81,125,44,0
139,90,125,35,0
140,94,125,31,0
141,97,125,28,0
142,102,125,23,0
143,105,125,20,0
144,109,125,16,0
145,112,125,13,0
146,114,125,11,0
147,116,125,9,0
148,120,125,5,0
149,124,125,1,0
150,126,125,0,0
151,124,125,1,0
152,123,125,2,0
153,121,125,4,0
154,121,125,4,0
155,122,125,3,0
156,121,125,4,0
157,121,125,4,0
158,120,125,5,0
159,120,125,5,0
160,118,125,7,0
161,114,125,10,-1
162,110,125,15,0
163,105,125,20,0
164,104,125,21,0
165,99,125,26,0
166,96,125,29,0
167,94,125,31,0
168,91,125,34,0
169,91,125,34,0
170,87,125,38,0
171,77,125,48,0
172,65,125,60,11093
173,60,125,65,13188
174,60,125,65,13122
175,63,125,62,12468
176,66,125,59,10498
177,65,125,60,11032
178,63,125,62,12437
179,63,125,62,12413
180,67,125,58,8708
181,71,125,54,4204
182,75,125,50,536
183,75,125,50,2
184,74,125,51,1628
185,72,125,53,2958
186,71,125,54,4368
187,70,125,55,5036
188,72,125,53,3471
189,73,125,52,2153
190,70,125,55,5306
191,68,125,57,7861
192,66,125,59,10246
193,65,125,60,11588
194,69,125,56,6749
195,72,125,53,3086
196,75,125,50,574
197,72,125,53,2977
198,70,125,55,5759
199,67,125,58,8772
200,63,125,62,12414
201,62,125,63,12780
202,60,125,65,13118
203,56,125,69,13950
204,53,125,72,14512
205,49,125,76,15370
206,45,125,80,16054
207,46,125,79,15991
208,47,125,78,15658
209,51,125,74,14964
210,54,125,71,14204
211,55,125,70,14164
212,53,125,72,14490
213,52,125,73,14717
214,50,125,75,15014
215,50,125,75,15145
216,49,125,76,15265
217,47,125,78,15765
218,46,125,79,15827
219,48,125,77,15428
220,54,125,71,14251
221,60,125,65,13017
222,69,125,56,6771
223,76,125,49,0
224,82,125,43,0
225,91,125,34,0
226,102,125,23,0
227,112,125,13,0
228,122,125,3,0
229,130,125,-4,0
230,133,125,-7,0
231,138,125,-12,0
232,141,125,-15,0
233,140,125,-14,0
234,139,125,-13,0
235,134,125,-8,-1
236,131,125,-5,0
237,130,125,-4,0
238,126,125,0,0
239,126,125,0,0
240,127,125,-1,0
241,131,125,-5,0
242,134,134,-6,0
243,132,132,-6,0
244,127,127,-6,0
245,118,118,-6,0
246,109,109,-6,0
247,106,106,-6,0
248,105,105,-6,0
249,105,105,-6,0
250,105,105,-6,0
251,103,103,-6,0
252,99,99,-6,0
253,94,94,-6,0
254,90,90,-6,0
255,86,86,-6,0
256,80,80,-6,0
257,77,77,-6,0
258,74,74,-6,0
259,72,72,-6,0
260,73,73,-6,0
261,70,70,-6,0
262,69,69,-6,0
263,67,67,-6,0
264,64,64,-6,0
265,63,63,-6,0
266,62,62,-6,0
267,59,59,-6,0
268,56,56,-6,0
269,56,56,-6,0
270,55,55,-6,0
271,55,55,-6,0
272,55,55,-6,0
273,56,56,-6,0
274,57,57,-6,0
275,56,56,-6,0
276,54,54,-6,0
277,51,51,-6,0
278,47,47,-6,0
279,46,46,-6,0
280,45,45,-6,0
281,44,44,-6,0
282,46,46,-6,0
283,45,45,-6,0
284,48,48,-6,0
285,47,47,-6,0
286,42,42,-6,0
287,41,41,-6,0
288,40,40,-6,0
289,40,40,-6,0
290,45,45,-6,0
291,46,46,-6,0
292,45,45,-6,0
293,47,47,-6,0
294,47,47,-6,0
295,47,47,-6,0
296,47,47,-6,0
297,44,44,-6,0
298,42,42,-6,0
