,alt,target,error,pid_result
0,7,7,0,0
1,13,13,0,0
2,12,12,0,0
3,12,12,0,0
4,12,12,0,0
5,12,12,0,0
6,10,10,0,0
7,12,12,0,0
8,13,13,0,0
9,18,18,0,0
10,12,12,0,0
11,14,14,0,0
12,17,17,0,0
13,11,11,0,0
14,11,11,0,0
15,19,19,0,0
16,17,17,0,0
17,15,15,0,0
18,18,18,0,0
19,25,25,0,0
20,-3,-3,0,0
21,-25,-25,0,0
22,-47,-47,0,0
23,-61,-61,0,0
24,-23,-23,0,0
25,-53,-53,0,0
26,-33,-33,0,0
27,-44,-44,0,0
28,-63,-63,0,0
29,-61,-61,0,0
30,31,31,0,0
31,39,39,0,0
32,70,70,0,0
33,83,83,0,0
34,86,86,0,0
35,68,68,0,0
36,56,56,0,0
37,45,45,0,0
38,40,40,0,0
39,41,41,0,0
40,44,44,0,0
41,45,45,0,0
42,45,45,0,0
43,48,48,0,0
44,50,50,0,0
45,53,53,0,0
46,58,58,0,0
47,59,59,0,0
48,56,56,0,0
49,56,56,0,0
50,56,56,0,0
51,55,55,0,0
52,58,58,0,0
53,58,58,0,0
54,61,61,0,0
55,66,66,0,0
56,72,72,0,0
57,78,78,0,0
58,84,84,0,0
59,91,91,0,0
60,97,97,0,0
61,107,107,0,0
62,116,116,0,0
63,126,126,0,0
64,134,134,0,0
65,141,141,0,0
66,151,151,0,0
67,161,161,0,0
68,177,177,0,0
69,191,191,0,0
70,205,205,0,0
71,217,212,-4,0
72,227,212,-14,0
73,238,212,-25,0
74,251,212,-38,0
75,266,212,-53,-147
76,278,212,-65,-891
77,289,212,-77,-1767
78,300,212,-87,-2820
79,311,212,-98,-4111
80,320,212,-107,-5281
81,331,212,-118,-6976
82,341,212,-128,-8627
83,346,212,-133,-9550
84,348,212,-135,-9785
85,346,212,-133,-9419
86,343,212,-130,-8893
87,336,212,-123,-7743
88,328,212,-115,-6418
89,318,212,-105,-5044
90,307,307,-99,-4135
91,296,296,-99,-4135
92,283,283,-99,-4135
93,263,263,-99,-4135
94,240,245,-99,-4135
95,223,223,-99,-4135
96,202,202,-99,-4135
97,194,194,-99,-4135
98,192,192,-99,-4135
99,195,195,-99,-4135
100,205,205,-99,-4135
101,216,216,-99,-4135
102,226,226,-99,-4135
103,239,239,-99,-4135
104,254,254,-99,-4135
105,273,273,-99,-4135
106,296,296,-99,-4135
107,319,319,-99,-4135
108,342,342,-99,-4135
109,365,365,-99,-4135
110,383,383,-99,-4135
111,409,409,0,0
112,438,409,-29,0
113,469,409,-59,-479
114,498,409,-88,-2942
115,524,409,-115,-6398
116,550,409,-141,-10919
117,572,409,-162,-15649
118,614,409,-204,-20000
119,628,409,-218,-20000
120,640,640,-223,-20000
121,651,651,-223,-20000
122,657,657,-223,-20000
123,656,656,-223,-20000
124,651,651,-223,-20000
125,638,638,-223,-20000
126,623,623,-223,-20000
127,613,613,-223,-20000
128,606,606,-223,-20000
129,602,602,-223,-20000
130,599,599,-223,-20000
131,596,596,-223,-20000
132,592,592,-223,-20000
133,590,590,-223,-20000
134,587,587,-223,-20000
135,585,585,-223,-20000
136,583,583,-223,-20000
137,578,578,-223,-20000
138,568,568,-223,-20000
139,558,558,-223,-20000
140,544,544,-223,-20000
141,529,529,-223,-20000
142,517,517,-223,-20000
143,508,508,-223,-20000
144,497,497,-223,-20000
145,487,487,-223,-20000
146,478,478,-223,-20000
147,465,465,-223,-20000
148,450,450,-223,-20000
149,436,436,-223,-20000
150,422,422,-223,-20000
151,407,407,-223,-20000
152,393,393,-223,-20000
153,380,380,-223,-20000
154,372,372,-223,-20000
155,360,360,-223,-20000
156,352,352,-223,-20000
157,343,343,-223,-20000
158,334,334,-223,-20000
159,329,329,-223,-20000
160,322,322,-223,-20000
161,316,316,-223,-20000
162,310,310,-223,-20000
163,305,305,-223,-20000
164,302,302,-223,-20000
165,299,299,-223,-20000
166,298,298,-223,-20000
167,294,294,-223,-20000
168,287,287,-223,-20000
169,282,282,-223,-20000
170,278,278,-223,-20000
171,273,273,-223,-20000
172,270,270,-223,-20000
173,268,268,-223,-20000
174,265,265,-223,-20000
175,263,263,-223,-20000
176,265,265,-223,-20000
177,262,262,-223,-20000
178,260,260,-223,-20000
179,258,258,-223,-20000
180,254,254,-223,-20000
181,254,254,-223,-20000
182,255,255,-223,-20000
183,252,252,-223,-20000
184,250,250,-223,-20000
185,246,246,-223,-20000
186,240,240,-223,-20000
