,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:44:18,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-66,-30696,-66,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-66,-30696,-66,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:19,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:20,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:20,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:20,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:20,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:20,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:21,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:21,-65,-30696,-65,0,0,0,0,0,0,0,0,0,0,0,0
15:44:21,-65,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:21,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:21,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:22,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:22,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:22,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:22,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:22,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:23,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:23,-64,-30696,-63,0,0,0,0,0,0,0,0,0,0,0,0
15:44:23,-63,-30696,-63,0,0,0,0,0,0,0,0,0,0,0,0
15:44:23,-63,-30696,-63,0,0,0,0,0,0,0,0,0,0,0,0
15:44:23,-63,-30696,-63,0,0,0,0,0,0,0,0,0,0,0,0
15:44:24,-63,-30696,-63,0,0,0,0,0,0,0,0,0,0,0,0
15:44:24,-63,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
15:44:24,-64,-30696,-64,0,0,0,0,0,0,0,0,0,0,0,0
