,alt,target,error,pid_result
0,-13,-13,155,2000
1,-10,-10,155,2000
2,-6,-6,155,2000
3,-6,-6,155,2000
4,-7,-7,155,2000
5,-7,-7,155,2000
6,-7,-7,155,2000
7,-7,-7,155,2000
8,-9,-9,155,2000
9,-11,-11,155,2000
10,-10,-10,155,2000
11,-9,-9,155,2000
12,-7,-7,155,2000
13,-10,-10,155,2000
14,-14,-14,155,2000
15,-16,-16,155,2000
16,-17,-17,155,2000
17,-14,-14,155,2000
18,-10,-10,155,2000
19,-10,-10,155,2000
20,-7,-7,155,2000
21,-7,-7,155,2000
22,-7,-7,155,2000
23,-8,-8,155,2000
24,-9,-9,155,2000
25,-10,-10,155,2000
26,-11,-11,155,2000
27,-9,-9,155,2000
28,-8,-8,155,2000
29,-6,-6,155,2000
30,-5,-5,155,2000
31,-6,-6,155,2000
32,-5,-5,155,2000
33,-4,-4,155,2000
34,-2,-2,155,2000
35,0,0,155,2000
36,0,0,155,2000
37,-2,-2,155,2000
38,-3,-3,155,2000
39,-4,-4,155,2000
40,-3,-3,155,2000
41,0,0,155,2000
42,3,3,155,2000
43,4,4,155,2000
44,5,5,155,2000
45,5,5,155,2000
46,3,3,155,2000
47,3,3,155,2000
48,4,4,155,2000
49,6,6,155,2000
50,8,8,155,2000
51,9,9,155,2000
52,10,10,155,2000
53,7,7,155,2000
54,4,4,155,2000
55,1,1,155,2000
56,0,0,155,2000
57,3,3,155,2000
58,9,9,155,2000
59,12,12,155,2000
60,12,12,155,2000
61,10,10,155,2000
62,5,5,155,2000
63,5,5,155,2000
64,5,5,155,2000
65,4,4,155,2000
66,4,4,155,2000
67,3,3,155,2000
68,4,4,155,2000
69,6,6,155,2000
70,8,8,155,2000
71,10,10,155,2000
72,8,8,155,2000
73,8,8,155,2000
74,6,6,155,2000
75,4,4,155,2000
76,7,7,155,2000
77,9,9,155,2000
78,12,12,155,2000
79,13,13,155,2000
80,14,14,155,2000
81,15,15,155,2000
82,16,16,155,2000
83,17,17,155,2000
84,19,19,155,2000
85,15,15,155,2000
86,15,15,155,2000
87,18,18,155,2000
88,18,18,155,2000
89,21,21,155,2000
90,20,20,155,2000
91,19,19,155,2000
92,21,21,155,2000
93,21,21,155,2000
94,23,23,155,2000
95,22,22,155,2000
96,19,19,155,2000
97,20,20,155,2000
98,19,19,155,2000
99,22,22,155,2000
