,Solar_Power,Today_GEN_Power,Solar_Voltage,Solar_Current,Line_Voltage,Line_Current,Line_Power,Inverter_Efficiency,Temperature,TTL_GEN_Power,AC_Frequency,RUN_Time,PF,DSP_ver,RUN
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,11,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,11,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,11,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,11,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,11,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,11,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:06,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,7,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,7,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,7,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:07,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:08,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,9,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,9,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:09,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,8,34840,8,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:10,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,10,0,0,0,0,0,0,0,0,0,0,0,0
15:54:11,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:12,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:12,10,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
15:54:12,9,34840,9,0,0,0,0,0,0,0,0,0,0,0,0
