,alt,target,error,pid_result
0,1,1,0,0
1,-1,-1,0,0
2,-3,-3,0,0
3,0,0,0,0
4,-1,-1,0,0
5,-5,-5,0,0
6,-2,-2,0,0
7,-6,-6,0,0
8,-5,-5,0,0
9,-1,-1,0,0
10,1,1,0,0
11,1,1,0,0
12,0,0,0,0
13,1,1,0,0
14,1,1,0,0
15,-1,-1,0,0
16,3,3,0,0
17,3,3,0,0
18,3,3,0,0
19,1,1,0,0
20,0,0,0,0
21,-1,-1,0,0
22,-1,-1,0,0
23,-2,-2,0,0
24,-2,-2,0,0
25,0,0,0,0
26,1,1,0,0
27,1,1,0,0
28,-1,-1,0,0
29,-4,-4,0,0
30,-8,-8,0,0
31,-8,-8,0,0
32,-5,-5,0,0
33,-5,-5,0,0
34,-5,-5,0,0
35,-8,-8,0,0
36,-9,-9,0,0
37,-9,-9,0,0
38,-5,-5,0,0
39,-5,-5,0,0
40,-5,-5,0,0
41,-7,-7,0,0
42,-6,-6,0,0
43,-7,-7,0,0
44,-8,-8,0,0
45,-7,-7,0,0
46,-8,-8,0,0
47,-8,-8,0,0
48,-7,-7,0,0
49,-8,-8,0,0
50,-7,-7,0,0
51,-4,-4,0,0
52,-1,-1,0,0
53,0,0,0,0
54,1,1,0,0
55,0,0,0,0
56,0,0,0,0
57,-3,-3,0,0
58,-5,-5,0,0
59,-5,-5,0,0
60,-6,-6,0,0
61,-5,-5,0,0
62,-3,-3,0,0
63,-3,-3,0,0
64,-1,-1,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,-2,-2,0,0
70,-6,-6,0,0
71,-7,-7,0,0
72,-7,-7,0,0
73,-7,-7,0,0
74,-4,-4,0,0
75,-3,-3,0,0
76,-3,-3,0,0
77,-3,-3,0,0
78,-4,-4,0,0
79,-5,-5,0,0
80,-4,-4,0,0
81,-5,-5,0,0
82,-4,-4,0,0
83,-6,-6,0,0
84,-6,-6,0,0
85,-5,-5,0,0
86,-4,-4,0,0
87,-1,-1,0,0
88,-1,-1,0,0
89,-1,-1,0,0
90,-4,-4,0,0
91,-5,-5,0,0
92,-5,-5,0,0
93,-3,-3,0,0
94,-3,-3,0,0
95,-2,-2,0,0
96,-3,-3,0,0
97,-5,-5,0,0
98,-6,-6,0,0
99,-7,-7,0,0
100,-6,-6,0,0
101,-7,-7,0,0
102,-7,-7,0,0
103,-6,-6,0,0
104,-7,-7,0,0
105,-3,-3,0,0
106,-1,-1,0,0
107,0,0,0,0
108,1,1,0,0
109,0,0,0,0
110,-1,-1,0,0
111,-1,-1,0,0
112,-1,-1,0,0
113,-2,-2,0,0
114,-2,-2,0,0
115,-5,-5,0,0
116,-8,-8,0,0
117,-8,-8,0,0
118,-11,-11,0,0
119,-10,-10,0,0
120,-8,-8,0,0
121,-7,-7,0,0
122,-3,-3,0,0
123,-2,-2,0,0
124,-5,-5,0,0
125,-6,-6,0,0
126,-9,-9,0,0
127,-9,-9,0,0
128,-6,-6,0,0
129,-5,-5,0,0
130,-2,-2,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,-2,-2,0,0
136,-3,-3,0,0
137,-4,-4,0,0
138,-4,-4,0,0
139,-4,-4,0,0
140,-2,-2,0,0
141,0,0,0,0
142,0,0,0,0
143,-1,-1,0,0
144,-4,-4,0,0
145,-3,-3,0,0
146,-3,-3,0,0
147,-3,-3,0,0
148,-3,-3,0,0
149,-6,-6,0,0
150,-8,-8,0,0
151,-9,-9,0,0
152,-10,-10,0,0
153,-9,-9,0,0
154,-6,-6,0,0
155,-8,-8,0,0
156,-8,-8,0,0
157,-9,-9,0,0
158,-11,-11,0,0
159,-11,-11,0,0
160,-11,-11,0,0
161,-11,-11,0,0
162,-9,-9,0,0
