,alt,target,error,pid_result
0,10,10,0,0
1,11,11,0,0
2,11,11,0,0
3,10,10,0,0
4,10,10,0,0
5,6,6,0,0
6,5,5,0,0
7,5,5,0,0
8,6,6,0,0
9,9,9,0,0
10,10,10,0,0
11,9,9,0,0
12,10,10,0,0
13,15,15,0,0
14,8,8,0,0
15,6,6,0,0
16,5,5,0,0
17,9,9,0,0
18,10,10,0,0
19,13,13,0,0
20,14,14,0,0
21,12,12,0,0
22,12,12,0,0
23,10,10,0,0
24,10,10,0,0
25,11,11,0,0
26,13,13,0,0
27,16,16,0,0
28,17,17,0,0
29,18,18,0,0
30,19,19,0,0
31,19,19,0,0
32,20,20,0,0
33,20,20,0,0
34,20,20,0,0
35,18,18,0,0
36,15,15,0,0
37,11,11,0,0
38,8,8,0,0
39,8,8,0,0
40,10,10,0,0
41,11,11,0,0
42,12,12,0,0
43,10,10,0,0
44,7,7,0,0
45,7,7,0,0
46,12,12,0,0
47,14,14,0,0
48,14,14,0,0
49,15,15,0,0
50,14,14,0,0
51,14,14,0,0
52,15,15,0,0
53,16,16,0,0
54,17,17,0,0
55,16,16,0,0
56,12,12,0,0
57,11,11,0,0
58,13,13,0,0
59,14,14,0,0
60,16,16,0,0
61,15,15,0,0
62,14,14,0,0
63,13,13,0,0
64,14,14,0,0
65,15,15,0,0
66,16,16,0,0
67,17,17,0,0
68,18,18,0,0
69,18,18,0,0
70,18,18,0,0
71,19,19,0,0
72,17,17,0,0
73,17,17,0,0
74,18,18,0,0
75,20,20,0,0
76,21,21,0,0
77,19,19,0,0
78,19,19,0,0
79,22,22,0,0
80,21,21,0,0
81,20,20,0,0
82,18,18,0,0
83,19,19,0,0
84,15,15,0,0
85,14,14,0,0
86,14,14,0,0
87,21,21,0,0
88,21,21,0,0
89,21,21,0,0
90,22,22,0,0
91,23,23,0,0
92,24,24,0,0
93,23,23,0,0
94,21,21,0,0
95,17,17,0,0
96,23,23,0,0
97,24,24,0,0
98,24,24,0,0
99,23,23,0,0
100,24,24,0,0
101,26,26,0,0
102,26,26,0,0
103,28,28,0,0
104,29,29,0,0
105,28,28,0,0
106,26,26,0,0
107,25,25,0,0
108,24,24,0,0
109,23,23,0,0
110,24,24,0,0
111,26,26,0,0
112,29,29,0,0
113,30,30,0,0
114,30,30,0,0
115,30,30,0,0
116,28,28,0,0
117,29,29,0,0
118,22,22,0,0
119,25,25,0,0
120,25,25,0,0
121,24,24,0,0
122,23,23,0,0
123,23,23,0,0
124,24,24,0,0
125,24,24,0,0
126,26,26,0,0
127,28,28,0,0
128,28,28,0,0
129,27,27,0,0
130,24,24,0,0
131,21,21,0,0
132,22,22,0,0
133,24,24,0,0
134,26,26,0,0
135,27,27,0,0
136,27,27,0,0
137,27,27,0,0
138,28,28,0,0
139,29,29,0,0
140,29,29,0,0
141,32,32,0,0
142,31,31,0,0
143,30,30,0,0
144,28,28,0,0
145,27,27,0,0
146,28,28,0,0
147,29,29,0,0
148,30,30,0,0
149,29,29,0,0
150,29,29,0,0
151,29,29,0,0
152,30,30,0,0
153,30,30,0,0
154,30,30,0,0
155,28,28,0,0
156,28,28,0,0
157,29,29,0,0
158,30,30,0,0
159,31,31,0,0
160,32,32,0,0
161,33,33,0,0
162,35,35,0,0
163,37,37,0,0
164,37,37,0,0
165,35,35,0,0
166,32,32,0,0
167,30,30,0,0
168,28,28,0,0
169,28,28,0,0
170,28,28,0,0
171,28,28,0,0
172,28,28,0,0
173,27,27,0,0
174,26,26,0,0
175,27,27,0,0
176,27,27,0,0
177,29,29,0,0
178,30,30,0,0
179,31,31,0,0
180,32,32,0,0
181,33,33,0,0
182,32,32,0,0
183,30,30,0,0
184,30,30,0,0
185,28,28,0,0
186,28,28,0,0
187,28,28,0,0
188,28,28,0,0
189,29,29,0,0
190,29,29,0,0
191,29,29,0,0
192,29,29,0,0
193,32,32,0,0
194,31,31,0,0
195,31,31,0,0
196,31,31,0,0
197,28,28,0,0
198,28,28,0,0
199,27,27,0,0
200,23,23,0,0
201,23,23,0,0
202,25,25,0,0
203,27,27,0,0
204,30,30,0,0
205,33,33,0,0
206,34,34,0,0
207,33,33,0,0
208,32,32,0,0
209,31,31,0,0
210,30,30,0,0
211,30,30,0,0
212,30,30,0,0
213,28,28,0,0
214,27,27,0,0
215,25,25,0,0
216,26,26,0,0
217,28,28,0,0
218,28,28,0,0
219,30,30,0,0
220,31,31,0,0
221,29,29,0,0
222,29,29,0,0
223,30,30,0,0
224,32,32,0,0
225,32,32,0,0
226,31,31,0,0
227,28,28,0,0
228,26,26,0,0
229,27,27,0,0
230,27,27,0,0
231,28,28,0,0
232,29,29,0,0
233,28,28,0,0
234,27,27,0,0
235,27,27,0,0
236,26,26,0,0
237,27,27,0,0
238,27,27,0,0
239,28,28,0,0
240,29,29,0,0
241,31,31,0,0
242,34,34,0,0
243,34,34,0,0
244,36,36,0,0
245,35,35,0,0
246,36,36,0,0
247,35,35,0,0
248,34,34,0,0
249,36,36,0,0
250,35,35,0,0
251,34,34,0,0
252,35,35,0,0
253,34,34,0,0
254,33,33,0,0
255,33,33,0,0
256,33,33,0,0
257,32,32,0,0
258,34,34,0,0
259,34,34,0,0
260,35,35,0,0
261,34,34,0,0
262,35,35,0,0
263,37,37,0,0
264,36,36,0,0
265,36,36,0,0
266,36,36,0,0
267,36,36,0,0
268,35,35,0,0
269,36,36,0,0
270,33,33,0,0
271,32,32,0,0
272,34,34,0,0
273,34,34,0,0
274,35,35,0,0
275,36,36,0,0
276,36,36,0,0
277,35,35,0,0
278,37,37,0,0
279,37,37,0,0
280,38,38,0,0
281,37,37,0,0
282,34,34,0,0
283,29,29,0,0
284,28,28,0,0
285,26,26,0,0
286,28,28,0,0
287,27,27,0,0
288,27,27,0,0
289,30,30,0,0
290,31,31,0,0
291,33,33,0,0
292,35,35,0,0
293,35,35,0,0
294,34,34,0,0
295,34,34,0,0
296,35,35,0,0
297,38,38,0,0
298,38,38,0,0
299,31,31,0,0
300,30,30,0,0
301,28,28,0,0
302,29,29,0,0
303,29,29,0,0
304,29,29,0,0
305,28,28,0,0
306,30,30,0,0
307,31,31,0,0
308,30,30,0,0
309,29,29,0,0
310,25,25,0,0
311,23,23,0,0
312,23,23,0,0
313,25,25,0,0
314,136,402653184,436207616,436207616
315,26,26,0,0
316,28,28,0,0
317,27,27,0,0
318,28,28,0,0
319,29,29,0,0
320,32,32,0,0
321,35,35,0,0
322,37,37,0,0
323,32,32,0,0
324,27,27,0,0
325,26,26,0,0
326,28,28,0,0
327,32,32,0,0
328,36,36,0,0
329,37,37,0,0
330,38,38,0,0
331,40,40,0,0
332,39,39,0,0
333,39,39,0,0
334,37,37,0,0
335,36,36,0,0
336,36,36,0,0
337,34,34,0,0
338,32,32,0,0
339,30,30,0,0
340,31,31,0,0
341,32,32,0,0
342,34,34,0,0
343,32,32,0,0
344,30,30,0,0
345,28,28,0,0
346,28,28,0,0
347,30,30,0,0
348,33,33,0,0
349,34,34,0,0
350,32,32,0,0
351,31,31,0,0
352,29,29,0,0
353,28,28,0,0
354,30,30,0,0
355,31,31,0,0
356,34,34,0,0
357,33,33,0,0
358,30,30,0,0
359,28,28,0,0
360,29,29,0,0
361,30,30,0,0
362,31,31,0,0
363,33,33,0,0
364,33,33,0,0
365,34,34,0,0
366,33,33,0,0
367,33,33,0,0
368,32,32,0,0
369,32,32,0,0
370,31,31,0,0
371,29,29,0,0
372,28,28,0,0
373,28,28,0,0
374,31,31,0,0
375,37,37,0,0
376,41,41,0,0
377,45,45,0,0
378,47,47,0,0
379,39,39,0,0
380,32,33,0,0
381,27,27,0,0
382,21,21,0,0
383,19,19,0,0
384,17,17,0,0
385,16,16,0,0
386,17,17,0,0
387,20,20,0,0
388,14,14,0,0
389,0,0,0,0
390,-23,-23,0,0
391,-37,-37,0,0
392,-49,-49,0,0
393,-55,-55,0,0
394,-65,-65,0,0
395,-72,-72,0,0
396,-71,-71,0,0
397,-76,-76,0,0
398,-70,-70,0,0
399,-51,-51,0,0
400,-25,-25,0,0
401,0,0,0,0
402,31,31,0,0
403,48,48,0,0
404,60,60,0,0
405,71,71,0,0
406,69,69,0,0
407,69,69,0,0
408,69,69,0,0
409,67,67,0,0
410,64,64,0,0
411,66,66,0,0
412,69,69,0,0
413,73,73,0,0
414,80,80,0,0
415,84,84,0,0
416,90,90,0,0
417,92,92,0,0
418,92,92,0,0
419,95,95,0,0
420,100,100,0,0
421,105,105,0,0
